fecha,oni
2023-11-01,1.99
2023-12-01,2.06
2024-01-01,1.92
2024-02-01,1.62
2024-03-01,1.26
2024-04-01,0.82
2024-05-01,0.49
2024-06-01,0.22
2024-07-01,0.08
2024-08-01,-0.07
2024-09-01,-0.17
2024-10-01,-0.21
2024-11-01,-0.3
2024-12-01,-0.42
2025-01-01,-0.45
2025-02-01,-0.24
2025-03-01,-0.06
2025-04-01,0.02
2025-05-01,-0.02
2025-06-01,-0.04
2025-07-01,-0.14
2025-08-01,-0.28
2025-09-01,-0.4
2025-10-01,-0.51
2025-11-01,-0.55
2025-12-01,-0.54
2026-01-01,-0.37
2026-02-01,-0.15
2026-03-01,0.11
